time,shortwave_radiation,cloud_cover,wind_speed_10m,temperature_2m,output_mw,hour,day_of_year,month
2025-08-06 00:00:00,0.0,19,13.1,26.4,48.14822773774391,0,218,8
2025-08-06 01:00:00,0.0,12,14.1,26.2,47.47560609587691,1,218,8
2025-08-06 02:00:00,0.0,13,13.9,26.0,50.0,2,218,8
2025-08-06 03:00:00,0.0,16,13.3,25.8,50.0,3,218,8
2025-08-06 04:00:00,0.0,12,12.3,25.7,43.654882401552726,4,218,8
2025-08-06 05:00:00,0.0,16,11.5,25.6,43.77291708932641,5,218,8
2025-08-06 06:00:00,0.0,18,15.9,26.3,50.0,6,218,8
2025-08-06 07:00:00,51.0,11,18.2,26.8,49.59174248589225,7,218,8
2025-08-06 08:00:00,208.0,23,17.9,28.3,47.99146001277122,8,218,8
2025-08-06 09:00:00,383.0,26,17.8,29.7,44.95698480028448,9,218,8
2025-08-06 10:00:00,537.0,47,19.7,30.5,50.0,10,218,8
2025-08-06 11:00:00,591.0,40,18.9,31.2,50.0,11,218,8
2025-08-06 12:00:00,729.0,63,20.3,32.2,50.0,12,218,8
2025-08-06 13:00:00,646.0,74,21.3,32.2,49.13300969169515,13,218,8
2025-08-06 14:00:00,517.0,31,21.0,32.1,50.0,14,218,8
2025-08-06 15:00:00,565.0,44,22.3,32.4,47.25729879931975,15,218,8
2025-08-06 16:00:00,473.0,40,22.0,32.2,49.15892404992177,16,218,8
2025-08-06 17:00:00,338.0,36,23.4,31.4,49.102715264785026,17,218,8
2025-08-06 18:00:00,165.0,12,21.1,30.6,49.75758082617055,18,218,8
2025-08-06 19:00:00,42.0,12,18.0,29.1,47.80918856266193,19,218,8
2025-08-06 20:00:00,0.0,42,16.4,28.1,45.3437434392071,20,218,8
2025-08-06 21:00:00,0.0,98,14.2,27.4,50.0,21,218,8
2025-08-06 22:00:00,0.0,98,12.0,26.9,49.50403438267175,22,218,8
2025-08-06 23:00:00,0.0,89,10.5,26.5,27.663984862127087,23,218,8
2025-08-07 00:00:00,0.0,43,10.1,26.2,25.530619592172556,0,219,8
2025-08-07 01:00:00,0.0,15,9.5,25.9,19.440851953263895,1,219,8
2025-08-07 02:00:00,0.0,15,9.6,25.7,22.122886232424527,2,219,8
2025-08-07 03:00:00,0.0,14,9.3,25.5,16.724054744603325,3,219,8
2025-08-07 04:00:00,0.0,13,9.7,25.4,22.70765470850414,4,219,8
2025-08-07 05:00:00,0.0,15,9.7,25.4,20.7994906540638,5,219,8
2025-08-07 06:00:00,0.0,21,9.4,26.1,15.877952933162497,6,219,8
2025-08-07 07:00:00,47.0,15,12.7,26.8,49.240757623122164,7,219,8
2025-08-07 08:00:00,197.0,15,15.4,27.9,50.0,8,219,8
2025-08-07 09:00:00,402.0,21,14.8,29.3,45.1124355353995,9,219,8
2025-08-07 10:00:00,584.0,37,17.3,30.8,47.428295588982174,10,219,8
2025-08-07 11:00:00,640.0,51,18.2,31.8,49.88394024786967,11,219,8
2025-08-07 12:00:00,654.0,60,18.1,32.5,50.0,12,219,8
2025-08-07 13:00:00,734.0,64,20.3,32.9,50.0,13,219,8
2025-08-07 14:00:00,665.0,33,21.5,32.9,50.0,14,219,8
2025-08-07 15:00:00,572.0,62,20.9,32.8,45.73884277732822,15,219,8
2025-08-07 16:00:00,461.0,44,21.9,32.2,50.0,16,219,8
2025-08-07 17:00:00,335.0,15,21.9,31.5,50.0,17,219,8
2025-08-07 18:00:00,191.0,10,21.1,30.9,50.0,18,219,8
2025-08-07 19:00:00,43.0,84,19.8,29.4,46.1055893355295,19,219,8
2025-08-07 20:00:00,0.0,78,18.8,28.3,50.0,20,219,8
2025-08-07 21:00:00,0.0,72,17.3,27.6,49.459199459925415,21,219,8
2025-08-07 22:00:00,0.0,99,15.8,27.1,50.0,22,219,8
2025-08-07 23:00:00,0.0,91,15.5,26.7,49.10190333267019,23,219,8
2025-08-08 00:00:00,0.0,56,14.5,26.5,47.966840588458794,0,220,8
2025-08-08 01:00:00,0.0,14,14.9,26.3,50.0,1,220,8
2025-08-08 02:00:00,0.0,92,13.6,26.0,50.0,2,220,8
2025-08-08 03:00:00,0.0,76,12.4,25.8,48.1321663285721,3,220,8
2025-08-08 04:00:00,0.0,17,11.5,25.6,38.66904879934012,4,220,8
2025-08-08 05:00:00,0.0,19,11.4,25.5,42.057543330245636,5,220,8
2025-08-08 06:00:00,0.0,10,16.6,26.2,47.76402858641777,6,220,8
2025-08-08 07:00:00,51.0,11,16.3,26.7,48.546163512976555,7,220,8
2025-08-08 08:00:00,211.0,9,16.7,28.2,45.3542672167281,8,220,8
2025-08-08 09:00:00,410.0,9,16.5,29.8,48.4819054027929,9,220,8
2025-08-08 10:00:00,612.0,14,17.8,31.3,49.586005848277836,10,220,8
2025-08-08 11:00:00,764.0,35,18.2,32.6,45.89838465279318,11,220,8
2025-08-08 12:00:00,796.0,91,21.9,33.0,50.0,12,220,8
2025-08-08 13:00:00,525.0,74,21.3,32.6,49.204272097104806,13,220,8
2025-08-08 14:00:00,799.0,100,22.2,33.4,48.512172976278,14,220,8
2025-08-08 15:00:00,335.0,100,21.8,32.1,47.684127052377484,15,220,8
2025-08-08 16:00:00,517.0,100,22.0,33.1,47.91359235095797,16,220,8
2025-08-08 17:00:00,348.0,100,24.5,31.6,50.0,17,220,8
2025-08-08 18:00:00,171.0,100,22.1,30.6,50.0,18,220,8
2025-08-08 19:00:00,40.0,100,19.5,29.2,50.0,19,220,8
2025-08-08 20:00:00,0.0,98,19.4,28.4,48.856232047107504,20,220,8
2025-08-08 21:00:00,0.0,100,19.0,27.6,50.0,21,220,8
2025-08-08 22:00:00,0.0,91,14.3,27.2,48.093390863331514,22,220,8
2025-08-08 23:00:00,0.0,90,13.0,26.9,49.91807613709934,23,220,8
2025-08-09 00:00:00,0.0,37,13.2,26.7,49.553619705793444,0,221,8
2025-08-09 01:00:00,0.0,91,13.0,26.5,50.0,1,221,8
2025-08-09 02:00:00,0.0,94,13.2,26.2,50.0,2,221,8
2025-08-09 03:00:00,0.0,100,13.5,26.0,50.0,3,221,8
2025-08-09 04:00:00,0.0,100,12.3,25.7,50.0,4,221,8
2025-08-09 05:00:00,0.0,99,11.7,25.6,45.066236614011224,5,221,8
2025-08-09 06:00:00,0.0,99,14.3,26.3,50.0,6,221,8
2025-08-09 07:00:00,47.0,98,12.7,27.1,47.25764008093816,7,221,8
2025-08-09 08:00:00,204.0,30,14.6,28.4,50.0,8,221,8
2025-08-09 09:00:00,382.0,43,15.1,29.8,47.90668130167972,9,221,8
2025-08-09 10:00:00,580.0,96,16.0,31.2,50.0,10,221,8
2025-08-09 11:00:00,725.0,96,16.7,32.4,50.0,11,221,8
2025-08-09 12:00:00,779.0,100,18.4,33.4,49.4697835030167,12,221,8
2025-08-09 13:00:00,735.0,100,19.7,33.5,50.0,13,221,8
2025-08-09 14:00:00,564.0,95,20.1,33.4,50.0,14,221,8
2025-08-09 15:00:00,524.0,73,20.1,33.4,50.0,15,221,8
2025-08-09 16:00:00,509.0,98,20.8,33.5,50.0,16,221,8
2025-08-09 17:00:00,238.0,100,22.3,31.9,47.129851496263655,17,221,8
2025-08-09 18:00:00,144.0,96,22.1,30.7,47.66224992261404,18,221,8
2025-08-09 19:00:00,40.0,37,20.4,29.2,48.21411526375616,19,221,8
2025-08-09 20:00:00,0.0,99,18.2,28.5,47.32906890693943,20,221,8
2025-08-09 21:00:00,0.0,99,16.7,27.8,50.0,21,221,8
2025-08-09 22:00:00,0.0,100,16.6,27.2,50.0,22,221,8
2025-08-09 23:00:00,0.0,100,16.3,26.8,50.0,23,221,8
2025-08-10 00:00:00,0.0,99,15.0,26.4,50.0,0,222,8
2025-08-10 01:00:00,0.0,100,14.0,26.2,49.97516863303316,1,222,8
2025-08-10 02:00:00,0.0,19,11.8,26.1,49.105870419978125,2,222,8
2025-08-10 03:00:00,0.0,76,11.8,25.9,38.936194052018145,3,222,8
2025-08-10 04:00:00,0.0,78,12.4,25.8,48.53566739962691,4,222,8
2025-08-10 05:00:00,0.0,9,10.5,25.6,25.40118546297324,5,222,8
2025-08-10 06:00:00,0.0,31,13.0,26.0,50.0,6,222,8
2025-08-10 07:00:00,47.0,22,13.7,26.6,50.0,7,222,8
2025-08-10 08:00:00,200.0,12,15.4,28.0,50.0,8,222,8
2025-08-10 09:00:00,410.0,39,15.5,29.5,46.30716261924341,9,222,8
2025-08-10 10:00:00,571.0,32,15.5,31.1,50.0,10,222,8
2025-08-10 11:00:00,713.0,100,17.0,32.1,50.0,11,222,8
2025-08-10 12:00:00,475.0,61,18.5,32.1,47.78441874194468,12,222,8
2025-08-10 13:00:00,619.0,59,19.4,32.3,48.450037120996065,13,222,8
2025-08-10 14:00:00,675.0,71,18.7,33.5,49.978511763699615,14,222,8
2025-08-10 15:00:00,579.0,96,22.9,32.5,50.0,15,222,8
2025-08-10 16:00:00,294.0,85,22.6,31.9,41.972143454598566,16,222,8
2025-08-10 17:00:00,266.0,55,23.1,31.6,47.219397375563396,17,222,8
2025-08-10 18:00:00,167.0,34,22.2,30.5,50.0,18,222,8
2025-08-10 19:00:00,39.0,35,20.0,29.3,50.0,19,222,8
2025-08-10 20:00:00,0.0,56,17.8,28.4,46.42469363574348,20,222,8
2025-08-10 21:00:00,0.0,71,16.5,27.6,49.004483785787215,21,222,8
2025-08-10 22:00:00,0.0,36,14.2,27.0,50.0,22,222,8
2025-08-10 23:00:00,0.0,11,13.2,26.7,46.0118987668097,23,222,8
2025-08-11 00:00:00,0.0,14,12.1,26.5,50.0,0,223,8
2025-08-11 01:00:00,0.0,31,12.4,26.3,49.050721099672785,1,223,8
2025-08-11 02:00:00,0.0,58,13.1,26.2,49.59979773743752,2,223,8
2025-08-11 03:00:00,0.0,37,12.4,26.2,45.758300946053595,3,223,8
2025-08-11 04:00:00,0.0,70,13.0,26.1,43.6556124334206,4,223,8
2025-08-11 05:00:00,0.0,20,13.2,26.0,50.0,5,223,8
2025-08-11 06:00:00,0.0,76,14.1,26.6,48.75691801131223,6,223,8
2025-08-11 07:00:00,47.0,49,14.8,27.1,49.24863929765216,7,223,8
2025-08-11 08:00:00,198.0,38,16.3,28.4,50.0,8,223,8
2025-08-11 09:00:00,406.0,98,16.9,29.9,45.59771841446268,9,223,8
2025-08-11 10:00:00,567.0,100,19.7,31.4,50.0,10,223,8
2025-08-11 11:00:00,611.0,100,21.6,32.3,49.62600911721319,11,223,8
2025-08-11 12:00:00,507.0,99,21.1,32.5,49.94915212051652,12,223,8
2025-08-11 13:00:00,606.0,100,23.7,32.6,50.0,13,223,8
2025-08-11 14:00:00,574.0,95,22.9,33.3,43.912108205862566,14,223,8
